Perkataan,Pecahan Suku Kata
debar,de-bar
debunga,de-bu-nga
dedah,de-dah
dedak,de-dak
dedalu,de-da-lu
dedap,de-dap
dedaun,de-da-un
dedaunan,de-dau-nan
degil,de-gil
dekat,de-kat
delapa,de-la-pa
delta,del-ta
demam,de-mam
demi,de-mi
demkian,dem-ki-an
denai,de-nai
denak,de-nak
dendam,den-dam
dendang,den-dang
dengan,de-ngan
dengar,de-ngar
dengar-kan,de-ngar-kan
dengki,deng-ki
depan,de-pan
deras-nya,de-ras-nya
derhaka,der-ha-ka
deri,de-ri
deria,de-ri-a
deruan,de-ru-an
desa,de-sa
detik,de-tik
dewan,de-wan
di,di
di-agak-agak,di-a-gak-a-gak
di-ajar,di-a-jar
di-ambil,di-am-bil
di-ampon,di-am-pon
di-angkat,di-ang-kat
di-ashek,di-as-hek
di-atas,di-a-tas
di-badan,di-ba-dan
di-bagi-kan,di-ba-gi-kan
di-bantu,di-ban-tu
di-bawa,di-ba-wa
di-bawak,di-ba-wak
di-berkenan,di-ber-ke-nan
di-bri,di-bri
di-chakok,di-cha-kok
di-chari,di-cha-ri
di-chita,di-chi-ta
di-dada,di-da-da
di-dalam,di-da-lam
di-dengar,di-de-ngar
di-fikir,di-fi-kir
di-gosok-kan,di-go-sok-kan
di-gunong,di-gu-nong
di-hati,di-ha-ti
di-hela,di-he-la
di-hilang,di-hi-lang
di-hutan,di-hu-tan
di-jaga,di-ja-ga
di-julai,di-ju-lai
di-junjong,di-jun-jong
di-kampong,di-kam-pong
di-karang,di-ka-rang
di-kaseh,di-ka-seh
di-kata,di-ka-ta
di-kebon,di-ke-bon
di-khabar,di-kha-bar
di-kota,di-ko-ta
di-lawan,di-la-wan
di-lomor,di-lo-mor
di-mak-lom,di-mak-lom
di-makan,di-ma-kan
di-mana,di-ma-na
di-nama,di-na-ma
di-negri-negri,di-neg-ri-neg-ri
di-panggil,di-pang-gil
di-pantai,di-pan-tai
di-parang,di-pa-rang
di-perkunon,di-per-ku-non
di-plehira,di-ple-hi-ra
di-pujee,di-pu-jee
di-puji,di-pu-ji
di-pukol,di-pu-kol
di-reban-kan,di-re-ban-kan
di-rempa,di-rem-pa
di-sabar,di-sa-bar
di-sebot,di-se-bot
di-selang,di-se-lang
di-semperna,di-sem-per-na
di-sesah,di-se-sah
di-situ,di-si-tu
di-situ-lah,di-si-tu-lah
di-sula,di-su-la
di-tahan,di-ta-han
di-tampi,di-tam-pi
di-tanggong,di-tang-gong
di-tanya,di-ta-nya
di-tasek,di-ta-sek
di-tengah,di-te-ngah
di-timpa,di-tim-pa
di-tinggal,di-ting-gal
di-tiru-nya,di-ti-ru-nya
di-tudong,di-tu-dong
di-turot,di-tu-rot
di-tutop,di-tu-top
di-ubah,di-u-bah
dia,di-a
dia-lah,di-a-lah
dia-nya,di-a-nya
diabai,di-a-bai
diacan-,di-a-can
diadu,di-a-du
diagih-agih,di-a-gih-a-gih
diagung-agung,di-a-gung-a-gung
diajak,di-a-jak
diajar,di-a-jar
dialah,di-a-lah
dialin,di-a-lin
dialun,di-a-lun
diam,di-am
diamalkan,di-a-mal-kan
diambil,di-am-bil
diangkat,di-ang-kat
diangkut,di-ang-kut
dianjak,di-an-jak
dianya,di-a-nya
diapit,di-a-pit
diarah,di-a-rah
diasah,di-a-sah
diasak,di-a-sak
diatas,di-a-tas
diatur,di-a-tur
dibagi,di-ba-gi
dibakar,di-ba-kar
dibalas,di-ba-las
dibasuh,di-ba-suh
dibawa,di-ba-wa
dibelah,di-be-lah
dibenci,di-ben-ci
dibentang,di-ben-tang
dibentur,di-ben-tur
diberi,di-be-ri
dibersihkan,di-ber-sih-kan
dibiar,di-bi-ar
dibingkai,di-bing-kai
dibuang,di-bu-ang
dibuat,di-bu-at
dicalit,di-ca-lit
dicampur,di-cam-pur
dicantas,di-can-tas
dicarum,di-ca-rum
dicatu,di-ca-tu
dicatu-catu,di-ca-tu-ca-tu
diceroboh,di-ce-ro-boh
dicium,di-ci-um
dicucuk,di-cu-cuk
dicukai,di-cu-kai
didamba,di-dam-ba
didapat,di-da-pat
didengar,di-de-ngar
didera,di-de-ra
didiami,di-dia-mi
didoa,di-do-a
diduga,di-du-ga
dieja,di-e-ja
dielak,di-e-lak
diendah,di-en-dah
digabung,di-ga-bung
digadai,di-ga-dai
digalang,di-ga-lang
digaul,di-ga-ul
digaungkan,di-ga-ung-kan
digemari,di-ge-ma-ri
digubah,di-gu-bah
digulai,di-gu-lai
diguna,di-gu-na
dihambat,di-ham-bat
dihampiri,di-ham-pi-ri
dihargai,di-har-ga-i
diharung,di-ha-rung
dihati,di-ha-ti
dihias,di-hi-as
dihiasi,di-hi-a-si
dihidang,di-hi-dang
dihimpun,di-him-pun
dihisap,di-hi-sap
dihulur,di-hu-lur
diikat,di-i-kat
diikat-ikat,di-i-kat-i-kat
diikut,di-i-kut
diilham,di-il-ham
diiman,di-i-man
diingat,di-i-ngat
diingatkan,di-i-ngat-kan
diinjak,di-in-jak
diiring,di-i-ring
diiringi,di-i-ri-ngi
diisi,di-i-si
dijaga,di-ja-ga
dijagai,di-ja-gai
dijaja,di-ja-ja
dijamah,di-ja-mah
dijamu,di-ja-mu
dijauhi,di-ja-u-hi
dijinjing,di-jin-jing
dijolok,di-jo-lok
dijual,di-ju-al
dijulang,di-ju-lang
dijumpai,di-jum-pa-i
dijunjung,di-jun-jung
dikail,di-ka-il
dikait,di-kait
dikandung,di-kan-dung
dikata,di-ka-ta
dikau,di-kau
dikejar,di-ke-jar
dikelar-kelar,di-ke-lar-ke-lar
dikenang,di-ke-nang
dikepung,di-ke-pung
dikerat-kerat,di-ke-rat-ke-rat
dikesan,di-ke-san
dikira,di-ki-ra
dikongsi,di-kong-si
dikuit,di-ku-it
dikumpul,di-kum-pul
dikurnia,di-kur-nia
dikutip,di-ku-tip
diladung-ladung,di-la-dung-la-dung
dilain,di-la-in
dilakukan,di-la-ku-kan
dilalui,di-la-lu-i
dilamun,di-la-mun
dilantai,di-lan-tai
dilarang,di-la-rang
dilaung,di-la-ung
dilautan,di-lau-tan
dilibas,di-li-bas
dilihat,di-li-hat
dilipat-lipat,di-li-pat-li-pat
diluahkan,di-lu-ah-kan
diluar,di-lu-ar
dimain,di-ma-in
dimainkan,di-ma-in-kan
dimakan,di-ma-kan
dimaknai,di-mak-na-i
dimamah,di-ma-mah
dimasak,di-ma-sak
diminum,di-mi-num
dimuziumkan,di-mu-zi-um-kan
dinanti,di-nan-ti
dinaungi,di-nau-ngi
dinda,din-da
dinding,din-ding
dingin,di-ngin
dini,di-ni
diniatkan,di-ni-at-kan
diobati,dio-ba-ti
diolah,di-o-lah
diorama,dio-ra-ma
dipadankan,di-pa-dan-kan
dipahat-pahat,di-pa-hat-pa-hat
dipajak,di-pa-jak
dipakai,di-pa-kai
dipalu,di-pa-lu
dipandang,di-pan-dang
dipangkuan,di-pang-ku-an
dipatuk,di-pa-tuk
dipelbagai,di-pel-ba-gai
dipeluk,di-pe-luk
diperam,di-pe-ram
diperintah,di-pe-rin-tah
diperjuangkan,di-per-ju-ang-kan
dipertahankan,di-per-ta-han-kan
dipetik,di-pe-tik
dipikul,di-pi-kul
dipilin,di-pi-lin
dipilin-pilin,di-pi-lin-pi-lin
dipinjam,di-pin-jam
dipinta,di-pin-ta
dipisah,di-pi-sah
dipotong,di-po-tong
dipuji-puji,di-pu-ji-pu-ji
dipukat,di-pu-kat
dipukul,di-pu-kul
diragui,di-ra-gu-i
dirai,di-ra-i
diraih,di-ra-ih
dirampas,di-ram-pas
dirancang,di-ran-cang
dirasa,di-ra-sa
dirasai,di-ra-sa-i
dirasuk,di-ra-suk
diraut,di-ra-ut
direbut,di-re-but
diredhai,di-re-dha-i
direnung,di-re-nung
diri,di-ri
diri-nya,di-ri-nya
dirimu,di-ri-mu
dirisik,di-ri-sik
disalai,di-sa-lai
disamak,di-sa-mak
disambut,di-sam-but
disana,di-sa-na
disangka,di-sang-ka
disantau,di-san-tau
disayang,di-sa-yang
disediakan,di-se-di-a-kan
diseksa,di-sek-sa
disela-sela,di-se-la-se-la
diselenggara,di-se-leng-ga-ra
disemai,di-se-mai
disembahkan,di-sem-bah-kan
disembunyikan,di-sem-bu-nyi-kan
disenangi,di-se-na-ngi
disia,di-si-a
disia-sia,di-sia-sia
disiat,di-si-at
disiat-siat,di-si-at-si-at
disidai,di-si-dai
disimpan,di-sim-pan
disiplin,di-sip-lin
disisih,di-si-sih
diskusi,dis-ku-si
disukai,di-su-ka-i
disukat,di-su-kat
disuluh,di-su-luh
disusun,di-su-sun
ditala-tala,di-ta-la-ta-la
ditambah,di-tam-bah
ditanggung,di-tang-gung
ditarik,di-ta-rik
ditata,di-ta-ta
ditebang,di-te-bang
ditebar,di-te-bar
ditembus,di-tem-bus
ditempah,di-tem-pah
ditempuh,di-tem-puh
ditepi,di-te-pi
ditimpa,di-tim-pa
dititing,di-ti-ting
ditiup,di-tiup
dituai,di-tu-ai
dituang,di-tu-ang
dituas-tuas,di-tu-as-tu-as
ditunggu,di-tung-gu
diturut,di-tu-rut
diubat,di-u-bat
diucap,di-u-cap
diucapkan,di-u-cap-kan
diufuk,di-u-fuk
diuji,di-u-ji
diundang,di-un-dang
diusahakan,di-u-sa-ha-kan
diusik,di-u-sik
diutama,di-u-ta-ma
diwarnai,di-war-na-i
doa,do-a
doa-ku,do-a-ku
doakan,do-a-kan
doalah,do-a-lah
dompet,dom-pet
dongengnya,do-ngeng-nya
dosa,do-sa
drama,dra-ma
dua,du-a
duablas,du-ab-las
dubai,du-bai
dudok,du-dok
duduk,du-duk
dugaan,du-ga-an
duhai,du-hai
duit,du-it
duka,du-ka
dipikul,di-pi-kul
dipilin,di-pi-lin
dipilin-pilin,di-pi-lin-pi-lin
dipinjam,di-pin-jam
dipinta,di-pin-ta
dipisah,di-pi-sah
dipotong,di-po-tong
dipuji-puji,di-pu-ji-pu-ji
dipukat,di-pu-kat
dipukul,di-pu-kul
diragui,di-ra-gu-i
dirai,di-ra-i
diraih,di-ra-ih
dirampas,di-ram-pas
dirancang,di-ran-cang
dirasa,di-ra-sa
dirasai,di-ra-sa-i
dirasuk,di-ra-suk
diraut,di-ra-ut
direbut,di-re-but
diredhai,di-re-dha-i
direnung,di-re-nung
diri,di-ri
diri-nya,di-ri-nya
dirimu,di-ri-mu
dirisik,di-ri-sik
disalai,di-sa-lai
disamak,di-sa-mak
disambut,di-sam-but
disana,di-sa-na
disangka,di-sang-ka
disantau,di-san-tau
disayang,di-sa-yang
disediakan,di-se-di-a-kan
diseksa,di-sek-sa
disela-sela,di-se-la-se-la
diselenggara,di-se-leng-ga-ra
disemai,di-se-mai
disembahkan,di-sem-bah-kan
disembunyikan,di-sem-bu-nyi-kan
disenangi,di-se-na-ngi
disia,di-si-a
disia-sia,di-sia-sia
disiat,di-si-at
disiat-siat,di-si-at-si-at
disidai,di-si-dai
disimpan,di-sim-pan
disiplin,di-sip-lin
disisih,di-si-sih
diskusi,dis-ku-si
disukai,di-su-ka-i
disukat,di-su-kat
disuluh,di-su-luh
disusun,di-su-sun
ditala-tala,di-ta-la-ta-la
ditambah,di-tam-bah
ditanggung,di-tang-gung
ditarik,di-ta-rik
ditata,di-ta-ta
ditebang,di-te-bang
ditebar,di-te-bar
ditembus,di-tem-bus
ditempah,di-tem-pah
ditempuh,di-tem-puh
ditepi,di-te-pi
ditimpa,di-tim-pa
dititing,di-ti-ting
ditiup,di-tiup
dituai,di-tu-ai
dituang,di-tu-ang
dituas-tuas,di-tu-as-tu-as
ditunggu,di-tung-gu
diturut,di-tu-rut
diubat,di-u-bat
diucap,di-u-cap
diucapkan,di-u-cap-kan
diufuk,di-u-fuk
diuji,di-u-ji
diundang,di-un-dang
diusahakan,di-u-sa-ha-kan
diusik,di-u-sik
diutama,di-u-ta-ma
diwarnai,di-war-na-i
doa,do-a
doa-ku,do-a-ku
doakan,do-a-kan
doalah,do-a-lah
dompet,dom-pet
dongengnya,do-ngeng-nya
dosa,do-sa
drama,dra-ma
dua,du-a
duablas,du-ab-las
dubai,du-bai
dudok,du-dok
duduk,du-duk
dugaan,du-ga-an
duhai,du-hai
duit,du-it
duka,du-ka
dipikul,di-pi-kul
dipilin,di-pi-lin
dipilin-pilin,di-pi-lin-pi-lin
dipinjam,di-pin-jam
dipinta,di-pin-ta
dipisah,di-pi-sah
dipotong,di-po-tong
dipuji-puji,di-pu-ji-pu-ji
dipukat,di-pu-kat
dipukul,di-pu-kul
diragui,di-ra-gu-i
dirai,di-ra-i
diraih,di-ra-ih
dirampas,di-ram-pas
dirancang,di-ran-cang
dirasa,di-ra-sa
dirasai,di-ra-sa-i
dirasuk,di-ra-suk
diraut,di-ra-ut
direbut,di-re-but
diredhai,di-re-dha-i
direnung,di-re-nung
diri,di-ri
diri-nya,di-ri-nya
dirimu,di-ri-mu
dirisik,di-ri-sik
disalai,di-sa-lai
disamak,di-sa-mak
disambut,di-sam-but
disana,di-sa-na
disangka,di-sang-ka
disantau,di-san-tau
disayang,di-sa-yang
disediakan,di-se-di-a-kan
diseksa,di-sek-sa
disela-sela,di-se-la-se-la
diselenggara,di-se-leng-ga-ra
disemai,di-se-mai
disembahkan,di-sem-bah-kan
disembunyikan,di-sem-bu-nyi-kan
disenangi,di-se-na-ngi
disia,di-si-a
disia-sia,di-sia-sia
disiat,di-si-at
disiat-siat,di-si-at-si-at
disidai,di-si-dai
disimpan,di-sim-pan
disiplin,di-sip-lin
disisih,di-si-sih
diskusi,dis-ku-si
disukai,di-su-ka-i
disukat,di-su-kat
disuluh,di-su-luh
disusun,di-su-sun
ditala-tala,di-ta-la-ta-la
ditambah,di-tam-bah
ditanggung,di-tang-gung
ditarik,di-ta-rik
ditata,di-ta-ta
ditebang,di-te-bang
ditebar,di-te-bar
ditembus,di-tem-bus
ditempah,di-tem-pah
ditempuh,di-tem-puh
ditepi,di-te-pi
ditimpa,di-tim-pa
dititing,di-ti-ting
ditiup,di-tiup
dituai,di-tu-ai
dituang,di-tu-ang
dituas-tuas,di-tu-as-tu-as
ditunggu,di-tung-gu
diturut,di-tu-rut
diubat,di-u-bat
diucap,di-u-cap
diucapkan,di-u-cap-kan
diufuk,di-u-fuk
diuji,di-u-ji
diundang,di-un-dang
diusahakan,di-u-sa-ha-kan
diusik,di-u-sik
diutama,di-u-ta-ma
diwarnai,di-war-na-i
doa,do-a
doa-ku,do-a-ku
doakan,do-a-kan
doalah,do-a-lah
dompet,dom-pet
dongengnya,do-ngeng-nya
dosa,do-sa
drama,dra-ma
dua,du-a
duablas,du-ab-las
dubai,du-bai
dudok,du-dok
duduk,du-duk
dugaan,du-ga-an
duhai,du-hai
duit,du-it
duka,du-ka
duku,du-ku
dulang,du-lang
dulu,du-lu
dungu,du-ngu
dungun,du-ngun
dunia,du-ni-a
duniawi,du-ni-a-wi
dupa,du-pa
durian,du-ri-an
dusun,du-sun
e-kedai,e-ke-dai
ebook,i-buk
edar,e-dar
eida,ei-da
ekor,e-kor
elak,e-lak
elakkan,e-lak-kan
elok,e-lok
emak,e-mak
emas,e-mas
embon,em-bon
emosi,e-mo-si
empat,em-pat
enak,e-nak
enaknya,e-nak-nya
enggan,eng-gan
enggang,eng-gang
engkau,eng-kau
engkaulah,eng-kau-lah
engku,eng-ku
eropah,e-ro-pah
esa,e-sa
esok,e-sok
estet,es-tet
estetnya,es-tet-nya
fa-idah,fa-i-dah
facebook',fes-buk
faedah,fa-e-dah
faedahnya,fa-e-dah-nya
faham,fa-ham
fajar,fa-jar
fakir,fa-kir
fansuri,fan-su-ri
fasal,fa-sal
fauna,fau-na
februari,feb-ru-a-ri
fikir,fi-kir
fikiran,fi-ki-ran
fir'aun,fir-aun
firstclass,fir-st-class
firus,fi-rus
fitnah,fit-nah
fitrah,fit-rah
flat,flat
gading,ga-ding
gadis,ga-dis
gadongan,ga-do-ngan
gaduh,ga-duh
gagah,ga-gah
gagak,ga-gak
gaharu,ga-ha-ru
gahru,gah-ru
gajah,ga-jah
gaji,ga-ji
gajus,ga-jus
galah,ga-lah
galau,ga-lau
gambar,gam-bar
gambus,gam-bus
gambut,gam-but
gamelan,ga-me-lan
ganggu,gang-gu
gangguan,gang-gu-an
gangsa,gang-sa
ganjaran,gan-ja-ran
ganti,gan-ti
gapai,ga-pai
gapailah,ga-pai-lah
garam,ga-ram
garang,ga-rang
gaul,ga-ul
gaya,ga-ya
gayut-gayutan,ga-yut-ga-yu-tan
gebar,ge-bar
gegambir,ge-gam-bir
gegas,ge-gas
geginang,ge-gi-nang
geladak,ge-la-dak
gelaga,ge-la-ga
gelama,ge-la-ma
gelamai,ge-la-mai
gelap,ge-lap
geliat,ge-li-at
geliga,ge-li-ga
gelisah,ge-li-sah
gelojoh,ge-lo-joh
gelombang,ge-lom-bang
gelora,ge-lo-ra
gelorat,ge-lo-rat
gelugur,ge-lu-gur
gemala,ge-ma-la
gemalai,ge-ma-lai
gemas,ge-mas
gembira,gem-bi-ra
gemelan,ge-me-lan
gemilang,ge-mi-lang
gemulai,ge-mu-lai
genang,ge-nang
gentar,gen-tar
gentara,gen-ta-ra
gentur,gen-tur
gerabak,ge-ra-bak
gerangan,ge-ra-ngan
gerbang,ger-bang
gerlap,ger-lap
gesek,ge-sek
gesekan,ge-se-kan
getuk-getuk,ge-tuk-ge-tuk
geylang,gey-lang
ghaira,ghai-ra
ghairah,ghai-rah
giat,gi-at
gila,gi-la
gilang,gi-lang
girang,gi-rang
girangnya,gi-rang-nya
glam,glam
global,glo-bal
goa,go-a
godaan,go-da-an
gombal,gom-bal
gondah,gon-dah
gopoh,go-poh
goreng,go-reng
goyah,go-yah
gua,gu-a
gubur,gu-bur
gugur,gu-gur
gula,gu-la
gulai,gu-lai
gulainya,gu-lai-nya
guna,gu-na
guna-nya,gu-na-nya
gunakan,gu-na-kan
gunanya,gu-na-nya
gundah,gun-dah
gundul,gun-dul
gurami,gu-ra-mi
gurau,gu-rau
gurita,gu-ri-ta
guru,gu-ru
gurun,gu-run
gusi,gu-si
habis,ha-bis
habis-kan,ha-bis-kan
habis-nya,ha-bis-nya
habuan,ha-bu-an
hadapan,ha-da-pan
hadiah,ha-di-ah
hadirmu,ha-dir-mu
hadis,ha-dis
hagu-nya,ha-gu-nya
haiwan,hai-wan
hajat,ha-jat
hajatnya,ha-jat-nya
hak,hak
hakiki,ha-ki-ki
hala,ha-la
halaman,ha-la-man
halia,ha-li-a
haluan,ha-lu-an
halus,ha-lus
halwa,hal-wa
hamba,ham-ba
hambanya,ham-ba-nya
hampas,ham-pas
hamzah,ham-zah
handai,han-dai
handak,han-dak
hang,hang
hangat-hangat,ha-ngat-ha-ngat
hangit,ha-ngit
hanya,ha-nya
haram,ha-ram
harap,ha-rap
harapan,ha-ra-pan
harga,har-ga
hargai,har-ga-i
hargailah,har-ga-i-lah
harganya,har-ga-nya
hari,ha-ri
hari-hari,ha-ri-ha-ri
hari-nya,ha-ri-nya
harib,ha-rib
harimau,ha-ri-mau
harmony,har-mo-ny
harta,har-ta
harta-ku,har-ta-ku
harti,har-ti
haru,ha-ru
haruan,ha-ru-an
harum,ha-rum
harus,ha-rus
hasil,ha-sil
hasrat,has-rat
hati,ha-ti
hati-ku,ha-ti-ku
hatiku,ha-ti-ku
hatimu,ha-ti-mu
haul,ha-ul
haus,ha-us
hawa,ha-wa
hayat,ha-yat
hebat,he-bat
helai-helaian,he-lai-he-lai-an
helang,he-lang
hendak,hen-dak
hendaklah,hen-dak-lah
hendaknya,hen-dak-nya
hengga,heng-ga
henti-henti,hen-ti-hen-ti
herba,her-ba
hero',he-ro
hias,hi-as
hiasan,hi-a-san
hiasi,hi-a-si
hiaskan,hi-as-kan
hibor-kan,hi-bor-kan
hibor-lah,hi-bor-lah
hiburan,hi-bu-ran
hidang,hi-dang
hidangan,hi-da-ngan
hidong,hi-dong
hidop,hi-dop
hidung,hi-dung
hidungnya,hi-dung-nya
hidup,hi-dup
hidupnya,hi-dup-nya
hijau,hi-jau
hijaunya,hi-jau-nya
hijriah,hij-ri-ah
hikmah,hik-mah
hilang,hi-lang
hilangkan,hi-lang-kan
hilir,hi-lir
himpun,him-pun
hingar,hi-ngar
hingga,hing-ga
hinggakan,hing-ga-kan
hingggot,hing-ggot
hining,hi-ning
hiriskan,hi-ris-kan
hisap,hi-sap
hitam,hi-tam
hitamnya,hi-tam-nya
holanda,ho-lan-da
hotel,ho-tel
hougang,hou-gang
hubatan,hu-ba-tan
hubungan,hu-bu-ngan
hujan,hu-jan
hujung,hu-jung
hukum,hu-kum
hulu,hu-lu
hulur,hu-lur
hulurkan,hu-lur-kan
huma,hu-ma
hunian,hu-ni-an
hutan,hu-tan
hutang,hu-tang
ia,i-a
ialah,ia-lah
ibadah,i-ba-dah
ibadat,i-ba-dat
iban,i-ban
ibarat,i-ba-rat
ibu,i-bu
idea,i-de-a
igauan,i-gau-an
ihsan,ih-san
ikan,i-kan
ikat,i-kat
ikatan,i-ka-tan
ikatkan,i-kat-kan
ikhlas,ikh-las
ikhtiar,ikh-ti-ar
ikut,i-kut
ikutkan,i-kut-kan
ilmu,il-mu
ilmuan,il-mu-an
imam,i-mam
iman,i-man
impi,im-pi
impian,im-pian
inang,i-nang
inchek,in-chek
indah,in-dah
india,in-di-a
indonesia,in-do-ne-sia
indra,ind-ra
haruan,ha-ru-an
harum,ha-rum
harus,ha-rus
hasil,ha-sil
hasrat,has-rat
hati,ha-ti
hati-ku,ha-ti-ku
hatiku,ha-ti-ku
hatimu,ha-ti-mu
haul,ha-ul
haus,ha-us
hawa,ha-wa
hayat,ha-yat
hebat,he-bat
helai-helaian,he-lai-he-lai-an
helang,he-lang
hendak,hen-dak
hendaklah,hen-dak-lah
hendaknya,hen-dak-nya
hengga,heng-ga
henti-henti,hen-ti-hen-ti
herba,her-ba
hero',he-ro
hias,hi-as
hiasan,hi-a-san
hiasi,hi-a-si
hiaskan,hi-as-kan
hibor-kan,hi-bor-kan
hibor-lah,hi-bor-lah
hiburan,hi-bu-ran
hidang,hi-dang
hidangan,hi-da-ngan
hidong,hi-dong
hidop,hi-dop
hidung,hi-dung
hidungnya,hi-dung-nya
hidup,hi-dup
hidupnya,hi-dup-nya
hijau,hi-jau
hijaunya,hi-jau-nya
hijriah,hij-ri-ah
hikmah,hik-mah
hilang,hi-lang
hilangkan,hi-lang-kan
hilir,hi-lir
himpun,him-pun
hingar,hi-ngar
hingga,hing-ga
hinggakan,hing-ga-kan
hingggot,hing-ggot
hining,hi-ning
hiriskan,hi-ris-kan
hisap,hi-sap
hitam,hi-tam
hitamnya,hi-tam-nya
holanda,ho-lan-da
hotel,ho-tel
hougang,hou-gang
hubatan,hu-ba-tan
hubungan,hu-bu-ngan
hujan,hu-jan
hujung,hu-jung
hukum,hu-kum
hulu,hu-lu
hulur,hu-lur
hulurkan,hu-lur-kan
huma,hu-ma
hunian,hu-ni-an
hutan,hu-tan
hutang,hu-tang
ia,i-a
ialah,ia-lah
ibadah,i-ba-dah
ibadat,i-ba-dat
iban,i-ban
ibarat,i-ba-rat
ibu,i-bu
idea,i-de-a
igauan,i-gau-an
ihsan,ih-san
ikan,i-kan
ikat,i-kat
ikatan,i-ka-tan
ikatkan,i-kat-kan
ikhlas,ikh-las
ikhtiar,ikh-ti-ar
ikut,i-kut
ikutkan,i-kut-kan
ilmu,il-mu
ilmuan,il-mu-an
imam,i-mam
iman,i-man
impi,im-pi
impian,im-pian
inang,i-nang
inchek,in-chek
indah,in-dah
india,in-di-a
indonesia,in-do-ne-sia
indra,ind-ra
haruan,ha-ru-an
harum,ha-rum
harus,ha-rus
hasil,ha-sil
hasrat,has-rat
hati,ha-ti
hati-ku,ha-ti-ku
hatiku,ha-ti-ku
hatimu,ha-ti-mu
haul,ha-ul
haus,ha-us
hawa,ha-wa
hayat,ha-yat
hebat,he-bat
helai-helaian,he-lai-he-lai-an
helang,he-lang
hendak,hen-dak
hendaklah,hen-dak-lah
hendaknya,hen-dak-nya
hengga,heng-ga
henti-henti,hen-ti-hen-ti
herba,her-ba
hero',he-ro
hias,hi-as
hiasan,hi-a-san
hiasi,hi-a-si
hiaskan,hi-as-kan
hibor-kan,hi-bor-kan
hibor-lah,hi-bor-lah
hiburan,hi-bu-ran
hidang,hi-dang
hidangan,hi-da-ngan
hidong,hi-dong
hidop,hi-dop
hidung,hi-dung
hidungnya,hi-dung-nya
hidup,hi-dup
hidupnya,hi-dup-nya
hijau,hi-jau
hijaunya,hi-jau-nya
hijriah,hij-ri-ah
hikmah,hik-mah
hilang,hi-lang
hilangkan,hi-lang-kan
hilir,hi-lir
himpun,him-pun
hingar,hi-ngar
hingga,hing-ga
hinggakan,hing-ga-kan
hingggot,hing-ggot
hining,hi-ning
hiriskan,hi-ris-kan
hisap,hi-sap
hitam,hi-tam
hitamnya,hi-tam-nya
holanda,ho-lan-da
hotel,ho-tel
hougang,hou-gang
hubatan,hu-ba-tan
hubungan,hu-bu-ngan
hujan,hu-jan
hujung,hu-jung
hukum,hu-kum
hulu,hu-lu
hulur,hu-lur
hulurkan,hu-lur-kan
huma,hu-ma
hunian,hu-ni-an
hutan,hu-tan
hutang,hu-tang
ia,i-a
ialah,ia-lah
ibadah,i-ba-dah
ibadat,i-ba-dat
iban,i-ban
ibarat,i-ba-rat
ibu,i-bu
idea,i-de-a
igauan,i-gau-an
ihsan,ih-san
ikan,i-kan
ikat,i-kat
ikatan,i-ka-tan
ikatkan,i-kat-kan
ikhlas,ikh-las
ikhtiar,ikh-ti-ar
ikut,i-kut
ikutkan,i-kut-kan
ilmu,il-mu
ilmuan,il-mu-an
imam,i-mam
iman,i-man
impi,im-pi
impian,im-pian
inang,i-nang
inchek,in-chek
indah,in-dah
india,in-di-a
indonesia,in-do-ne-sia
indra,ind-ra
ind-ra-gi-ri,Tidak
inga,i-nga
ingat,i-ngat
ingat-ingat,i-ngat-i-ngat
ingat-lah,i-ngat-lah
ingatan,i-nga-tan
ingatkan,i-ngat-kan
inggu,ing-gu
ingin,i-ngin
ini,i-ni
ini-lah,i-ni-lah
ini-nya,i-ni-nya
inikan,i-ni-kan
inkronchong,in-kron-chong
insaf,in-saf
insafi,in-sa-fi
insan,in-san
intailah,in-tai-lah
intan,in-tan
internet,in-ter-net
ipin,i-pin
irama,i-ra-ma
iri,i-ri
irsyadeens,ir-sya-deens
isi,i-si
isi-nya,i-si-nya
isikan,i-si-kan
isinya,i-si-nya
islam,is-lam
istana,is-ta-na
isteri,is-te-ri
istimewa,is-ti-me-wa
it,it
itik,i-tik
itu,i-tu
itu-lah,i-tu-lah
itu-pon,i-tu-pon
itulah,i-tu-lah
jadi,ja-di
jadi-kan,ja-di-kan
jadi-nay,ja-di-nay
jadikan,ja-di-kan
jadilah,ja-di-lah
jadual,ja-du-al
jaga,ja-ga
jagaan,ja-gaan
jagai,ja-ga-i
jagung,ja-gung
jahat,ja-hat
jahil,ja-hil
jaja,ja-ja
jaka,ja-ka
jala,ja-la
jalan,ja-lan
jalin,ja-lin
jalinan,ja-li-nan
jamah,ja-mah
jambak,jam-bak
jambu,jam-bu
jamu,ja-mu
jamuan,ja-mu-an
jang,jang
jangalah,ja-nga-lah
jangan,ja-ngan
jangan-kan,ja-ngan-kan
jangan-lah,ja-ngan-lah
janganlah,ja-ngan-lah
janguk-janguk,ja-nguk-ja-nguk
janji,jan-ji
janjian,jan-ji-an
jantan,jan-tan
jantong,jan-tong
jaoh,ja-oh
jarak,ja-rak
jarang,ja-rang
jarang-jarang,ja-rang-ja-rang
jari,ja-ri
jariah,ja-riah
jaringan,ja-ri-ngan
jarum,ja-rum
jasa,ja-sa
jasmani,jas-ma-ni
jati,ja-ti
jatoh,ja-toh
jatuh,ja-tuh
jauh,ja-uh
jauhari,jau-ha-ri
