Perkataan,Pecahan Suku Kata
bermukah,ber-mu-kah
bermula,ber-mu-la
bermusim-musim,ber-mu-sim-mu-sim
bermusuh,ber-mu-suh
bermutu,ber-mu-tu
bernama,ber-na-ma
berniat,ber-ni-at
bernilai,ber-ni-lai
bernobat,ber-no-bat
bernostalgia,ber-nos-tal-gia
bernyanyi,ber-nya-nyi
beroda,be-ro-da
berolok-olok,be-ro-lok-o-lok
berongkol-rongkol,be-rong-kol-rong-kol
berpala,ber-pa-la
berpalang,ber-pa-lang
berpalu,ber-pa-lu
berpandai,ber-pan-dai
berpantun,ber-pan-tun
berparot,ber-pa-rot
berpasak,ber-pa-sak
berpaut,ber-pa-ut
berpayung,ber-pa-yung
berpencar,ber-pen-car
berperdu,ber-per-du
berpeti,ber-pe-ti
berpinar,ber-pi-nar
berpuas,ber-pu-as
berpuasa,ber-pua-sa
berpuisi,ber-pu-i-si
berpulang,ber-pu-lang
berpunya,ber-pu-nya
berpusat,ber-pu-sat
berputus,ber-pu-tus
bersaga,ber-sa-ga
bersahaja,ber-sa-ha-ja
bersalam,ber-sa-lam
bersalut,ber-sa-lut
bersama,ber-sa-ma
bersama-sama,ber-sa-ma-sa-ma
bersambil,ber-sam-bil
bersantai,ber-san-tai
bersantai-santai,ber-san-tai-san-tai
bersantun,ber-san-tun
bersapa,ber-sa-pa
bersarang,ber-sa-rang
bersari,ber-sa-ri
bersarung,ber-sa-rung
bersatu,ber-sa-tu
bersaudara,ber-sau-da-ra
bersauh,ber-sa-uh
bersawah,ber-sa-wah
bersedia,ber-se-di-a
bersegi,ber-se-gi
berselera,ber-se-le-ra
bersembang,ber-sem-bang
bersemu,ber-se-mu
bersenam,ber-se-nam
bersendirian,ber-sen-di-ri-an
berseni,ber-se-ni
berseri,ber-se-ri
berseri-seri,ber-se-ri-se-ri
bersey,ber-sey
bersiah-siah,ber-si-ah-si-ah
bersiap,ber-si-ap
bersiar,ber-si-ar
bersiar-siar,ber-si-ar-si-ar
bersih,ber-sih
bersikap,ber-si-kap
bersikat,ber-si-kat
bersimpang-siur,ber-sim-pang-si-ur
bersinar,ber-si-nar
bersintok,ber-sin-tok
bersiri,ber-si-ri
bersiul,ber-siul
bersolek,ber-so-lek
bersri,ber-sri
bersua,ber-su-a
bersuka,ber-su-ka
bersuka-ria,ber-su-ka-ri-a
bersulam,ber-su-lam
bersungguh,ber-sung-guh
bersurai,ber-su-rai
bersykur,bersy-kur
bertabur,ber-ta-bur
bertahil,ber-ta-hil
bertahun-tahun,ber-ta-hun-ta-hun
bertaik,ber-ta-ik
bertala-tala,ber-ta-la-ta-la
bertambah,ber-tam-bah
bertanda,ber-tan-da
bertangkai,ber-tang-kai
bertanya,ber-ta-nya
bertapa,ber-ta-pa
bertaruh,ber-ta-ruh
bertaubat,ber-tau-bat
bertebing,ber-te-bing
berteduh,ber-te-duh
bertekak,ber-te-kak
berteman,ber-te-man
bertemu,ber-te-mu
bertentang,ber-ten-tang
bertepi,ber-te-pi
bertiang,ber-ti-ang
bertindak,ber-tin-dak
bertindih,ber-tin-dih
bertingkah,ber-ting-kah
bertiup,ber-tiup
bertolak,ber-to-lak
bertuah,ber-tu-ah
bertuai,ber-tu-ai
bertuan,ber-tu-an
